"dataset","symbol","name","storedSector","storedSectorKo","liveSector"
"KR","005930.KS","삼성전자","Information Technology","기술","Technology"
"KR","000660.KS","SK하이닉스","Information Technology","기술","Technology"
"KR","009150.KS","삼성전기","Information Technology","기술","Technology"
"KR","105560.KS","KB금융","Financials","금융","Financial Services"
"KR","055550.KS","신한지주","Financials","금융","Financial Services"
"KR","000270.KS","기아","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","012330.KS","현대모비스","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","086790.KS","하나금융지주","Financials","금융","Financial Services"
"KR","068270.KS","셀트리온","Health Care","헬스케어","Healthcare"
"KR","032830.KS","삼성생명","Financials","금융","Financial Services"
"KR","066570.KS","LG전자","Information Technology","기술","Technology"
"KR","005490.KS","POSCO홀딩스","Materials","소재","Basic Materials"
"KR","316140.KS","우리금융지주","Financials","금융","Financial Services"
"KR","000810.KS","삼성화재","Financials","금융","Financial Services"
"KR","207940.KS","삼성바이오로직스","Health Care","헬스케어","Healthcare"
"KR","033780.KS","KT&G","Consumer Staples","필수소비재","Consumer Defensive"
"KR","035720.KS","카카오","Industrials","산업재","Communication Services"
"KR","051910.KS","LG화학","Materials","소재","Basic Materials"
"KR","003550.KS","LG","Information Technology","기술","Technology"
"KR","006800.KS","미래에셋증권","Financials","금융","Financial Services"
"KR","042700.KS","한미반도체","Information Technology","기술","Technology"
"KR","278470.KS","에이피알","Consumer Staples","필수소비재","Consumer Defensive"
"KR","010130.KS","고려아연","Materials","소재","Basic Materials"
"KR","018260.KS","삼성에스디에스","Information Technology","기술","Technology"
"KR","138040.KS","메리츠금융지주","Financials","금융","Financial Services"
"KR","011070.KS","LG이노텍","Information Technology","기술","Technology"
"KR","071050.KS","한국금융지주","Financials","금융","Financial Services"
"KR","005830.KS","DB손해보험","Financials","금융","Financial Services"
"KR","323410.KS","카카오뱅크","Financials","금융","Financial Services"
"KR","007660.KS","이수페타시스","Information Technology","기술","Technology"
"KR","016360.KS","삼성증권","Financials","금융","Financial Services"
"KR","003230.KS","삼양식품","Consumer Staples","필수소비재","Consumer Defensive"
"KR","024110.KS","기업은행","Financials","금융","Financial Services"
"KR","180640.KS","한진칼","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","021240.KS","코웨이","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","000100.KS","유한양행","Health Care","헬스케어","Healthcare"
"KR","009830.KS","한화솔루션","Information Technology","기술","Technology"
"KR","161390.KS","한국타이어앤테크놀로지","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","039490.KS","키움증권","Financials","금융","Financial Services"
"KR","005940.KS","NH투자증권","Financials","금융","Financial Services"
"KR","138930.KS","BNK금융지주","Financials","금융","Financial Services"
"KR","064400.KS","LG CNS","Information Technology","기술","Technology"
"KR","326030.KS","SK바이오팜","Health Care","헬스케어","Healthcare"
"KR","034220.KS","LG디스플레이","Information Technology","기술","Technology"
"KR","000990.KS","DB하이텍","Information Technology","기술","Technology"
"KR","001450.KS","현대해상","Financials","금융","Financial Services"
"KR","307950.KS","현대오토에버","Information Technology","기술","Technology"
"KR","271560.KS","오리온","Consumer Staples","필수소비재","Consumer Defensive"
"KR","004170.KS","신세계","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","128940.KS","한미약품","Health Care","헬스케어","Healthcare"
"KR","004020.KS","현대제철","Materials","소재","Basic Materials"
"KR","161890.KS","한국콜마","Consumer Staples","필수소비재","Consumer Defensive"
"KR","483650.KS","달바글로벌","Consumer Staples","필수소비재","Consumer Defensive"
"KR","011790.KS","SKC","Materials","소재","Basic Materials"
"KR","009420.KS","한올바이오파마","Health Care","헬스케어","Healthcare"
"KR","192820.KS","코스맥스","Consumer Staples","필수소비재","Consumer Defensive"
"KR","002380.KS","KCC","Materials","소재","Basic Materials"
"KR","014680.KS","한솔케미칼","Materials","소재","Basic Materials"
"KR","088350.KS","한화생명","Financials","금융","Financial Services"
"KR","204320.KS","HL만도","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","011780.KS","금호석유화학","Materials","소재","Basic Materials"
"KR","377300.KS","카카오페이","Information Technology","기술","Technology"
"KR","111770.KS","영원무역","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","035250.KS","강원랜드","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","097950.KS","CJ제일제당","Consumer Staples","필수소비재","Consumer Defensive"
"KR","004370.KS","농심","Consumer Staples","필수소비재","Consumer Defensive"
"KR","139480.KS","이마트","Consumer Staples","필수소비재","Consumer Defensive"
"KR","008770.KS","호텔신라","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","457190.KS","이수스페셜티케미컬","Materials","소재","Basic Materials"
"KR","008930.KS","한미사이언스","Health Care","헬스케어","Healthcare"
"KR","282330.KS","BGF리테일","Consumer Staples","필수소비재","Consumer Defensive"
"KR","081660.KS","미스토홀딩스","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","029780.KS","삼성카드","Financials","금융","Financial Services"
"KR","018880.KS","한온시스템","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","120110.KS","코오롱인더","Materials","소재","Basic Materials"
"KR","069960.KS","현대백화점","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","022100.KS","포스코DX","Information Technology","기술","Technology"
"KR","011170.KS","롯데케미칼","Materials","소재","Basic Materials"
"KR","302440.KS","SK바이오사이언스","Health Care","헬스케어","Healthcare"
"KR","023530.KS","롯데쇼핑","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","007340.KS","DN오토모티브","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","011210.KS","현대위아","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","007070.KS","GS리테일","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","009970.KS","영원무역홀딩스","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","005850.KS","에스엘","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","298020.KS","효성티앤씨","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","073240.KS","금호타이어","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","026960.KS","동서","Consumer Staples","필수소비재","Consumer Defensive"
"KR","017960.KS","한국카본","Materials","소재","Basic Materials"
"KR","093370.KS","후성","Materials","소재","Basic Materials"
"KR","006280.KS","녹십자","Health Care","헬스케어","Healthcare"
"KR","004000.KS","롯데정밀화학","Materials","소재","Basic Materials"
"KR","002790.KS","아모레퍼시픽홀딩스","Consumer Staples","필수소비재","Consumer Defensive"
"KR","003240.KS","태광산업","Materials","소재","Basic Materials"
"KR","000240.KS","한국앤컴퍼니","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","361610.KS","SK아이이테크놀로지","Information Technology","기술","Technology"
"KR","000210.KS","DL","Materials","소재","Basic Materials"
"KR","001430.KS","세아베스틸지주","Materials","소재","Basic Materials"
"KR","285130.KS","SK케미칼","Materials","소재","Basic Materials"
"KR","000080.KS","하이트진로","Consumer Staples","필수소비재","Consumer Defensive"
"KR","007310.KS","오뚜기","Consumer Staples","필수소비재","Consumer Defensive"
"KR","006040.KS","동원산업","Consumer Staples","필수소비재","Consumer Defensive"
"KR","456040.KS","OCI","Materials","소재","Basic Materials"
"KR","280360.KS","롯데웰푸드","Consumer Staples","필수소비재","Consumer Defensive"
"KR","001680.KS","대상","Consumer Staples","필수소비재","Consumer Defensive"
"KR","069260.KS","TKG휴켐스","Materials","소재","Basic Materials"
"KR","005300.KS","롯데칠성","Consumer Staples","필수소비재","Consumer Defensive"
"KR","300720.KS","한일시멘트","Materials","소재","Basic Materials"
"KR","003090.KS","대웅","Health Care","헬스케어","Healthcare"
"KR","009240.KS","한샘","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","008730.KS","율촌화학","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","002840.KS","미원상사","Materials","소재","Basic Materials"
"KR","003030.KS","세아제강지주","Materials","소재","Basic Materials"
"KR","002030.KS","아세아","Materials","소재","Basic Materials"
"KR","014820.KS","동원시스템즈","Consumer Discretionary","경기소비재","Consumer Cyclical"
"KR","268280.KS","미원에스씨","Materials","소재","Basic Materials"
"KR","196170.KQ","알테오젠","Health Care","헬스케어","Healthcare"
"KR","036930.KQ","주성엔지니어링","Information Technology","기술","Technology"
"KR","028300.KQ","HLB","Health Care","헬스케어","Healthcare"
"KR","087010.KQ","펩트론","Health Care","헬스케어","Healthcare"
"KR","240810.KQ","원익IPS","Information Technology","기술","Technology"
"KR","039030.KQ","이오테크닉스","Information Technology","기술","Technology"
"KR","058470.KQ","리노공업","Information Technology","기술","Technology"
"KR","298380.KQ","에이비엘바이오","Health Care","헬스케어","Healthcare"
"KR","108490.KQ","로보티즈","Information Technology","기술","Technology"
"KR","222800.KQ","심텍","Information Technology","기술","Technology"
"KR","141080.KQ","리가켐바이오","Health Care","헬스케어","Healthcare"
"KR","214450.KQ","파마리서치","Health Care","헬스케어","Healthcare"
"KR","319660.KQ","피에스케이","Information Technology","기술","Technology"
"KR","000250.KQ","삼천당제약","Health Care","헬스케어","Healthcare"
"KR","080220.KQ","제주반도체","Information Technology","기술","Technology"
"KR","347850.KQ","디앤디파마텍","Health Care","헬스케어","Healthcare"
"KR","084370.KQ","유진테크","Information Technology","기술","Technology"
"KR","310210.KQ","보로노이","Health Care","헬스케어","Healthcare"
"KR","226950.KQ","올릭스","Health Care","헬스케어","Healthcare"
"KR","067310.KQ","하나마이크론","Information Technology","기술","Technology"
"KR","095340.KQ","ISC","Information Technology","기술","Technology"
"KR","095610.KQ","테스","Information Technology","기술","Technology"
"KR","257720.KQ","실리콘투","Consumer Staples","필수소비재","Consumer Defensive"
"KR","237690.KQ","에스티팜","Health Care","헬스케어","Healthcare"
"KR","089970.KQ","브이엠","Information Technology","기술","Technology"
"KR","145020.KQ","휴젤","Health Care","헬스케어","Healthcare"
"KR","089030.KQ","테크윙","Information Technology","기술","Technology"
"KR","357780.KQ","솔브레인","Materials","소재","Basic Materials"
"KR","131290.KQ","티에스이","Information Technology","기술","Technology"
"KR","319400.KQ","현대무벡스","Financials","금융","Financial Services"
"KR","039200.KQ","오스코텍","Health Care","헬스케어","Healthcare"
"KR","064760.KQ","티씨케이","Information Technology","기술","Technology"
"KR","140860.KQ","파크시스템스","Information Technology","기술","Technology"
"KR","007390.KQ","네이처셀","Consumer Staples","필수소비재","Consumer Defensive"
"KR","290650.KQ","엘앤씨바이오","Health Care","헬스케어","Healthcare"
"KR","131970.KQ","두산테스나","Information Technology","기술","Technology"
"KR","078600.KQ","대주전자재료","Information Technology","기술","Technology"
"KR","096530.KQ","씨젠","Health Care","헬스케어","Healthcare"
"KR","214150.KQ","클래시스","Health Care","헬스케어","Healthcare"
"KR","214370.KQ","케어젠","Consumer Staples","필수소비재","Consumer Defensive"
"KR","031980.KQ","피에스케이홀딩스","Information Technology","기술","Technology"
"KR","241710.KQ","코스메카코리아","Consumer Staples","필수소비재","Consumer Defensive"
"KR","218410.KQ","RFHIC","Information Technology","기술","Technology"
"KR","101490.KQ","에스앤에스텍","Information Technology","기술","Technology"
"KR","445680.KQ","큐리옥스바이오시스템즈","Health Care","헬스케어","Healthcare"
"KR","048410.KQ","현대바이오","Health Care","헬스케어","Healthcare"
"KR","328130.KQ","루닛","Health Care","헬스케어","Healthcare"
"KR","420770.KQ","기가비스","Information Technology","기술","Technology"
"KR","166090.KQ","하나머티리얼즈","Information Technology","기술","Technology"
"KR","085660.KQ","차바이오텍","Health Care","헬스케어","Healthcare"
"KR","358570.KQ","지아이이노베이션","Health Care","헬스케어","Healthcare"
"KR","099320.KQ","쎄트렉아이","Information Technology","기술","Technology"
"KR","050890.KQ","쏠리드","Information Technology","기술","Technology"
"KR","281740.KQ","레이크머티리얼즈","Materials","소재","Basic Materials"
"KR","036540.KQ","SFA반도체","Information Technology","기술","Technology"
"KR","121600.KQ","나노신소재","Materials","소재","Basic Materials"
"KR","213420.KQ","덕산네오룩스","Information Technology","기술","Technology"
"KR","232140.KQ","와이씨","Information Technology","기술","Technology"
"KR","036810.KQ","에프에스티","Information Technology","기술","Technology"
"KR","295310.KQ","에이치브이엠","Materials","소재","Basic Materials"
"KR","025980.KQ","아난티","Consumer Discretionary","경기소비재","Consumer Cyclical"
