corpCode.xml 다운로드 중...
corpCode.xml 위치: C:\Users\User\Desktop\클로드코드\1. 미국기업분석\sector-map\scripts\corpCode_extracted\CORPCODE.xml
전체 상장사 수: 3988
[100/3988] 진행 중... (수집 0건, 오류 0)
[200/3988] 진행 중... (수집 0건, 오류 0)
[300/3988] 진행 중... (수집 0건, 오류 0)
[400/3988] 진행 중... (수집 0건, 오류 0)
[500/3988] 진행 중... (수집 0건, 오류 0)
[600/3988] 진행 중... (수집 0건, 오류 0)
[700/3988] 진행 중... (수집 1건, 오류 0)
[800/3988] 진행 중... (수집 11건, 오류 0)
[900/3988] 진행 중... (수집 22건, 오류 0)
[1000/3988] 진행 중... (수집 42건, 오류 0)
[1100/3988] 진행 중... (수집 61건, 오류 0)
[1200/3988] 진행 중... (수집 90건, 오류 0)
[1300/3988] 진행 중... (수집 99건, 오류 0)
[1400/3988] 진행 중... (수집 108건, 오류 0)
[1500/3988] 진행 중... (수집 128건, 오류 0)
[1600/3988] 진행 중... (수집 147건, 오류 0)
[1700/3988] 진행 중... (수집 157건, 오류 0)
[1800/3988] 진행 중... (수집 169건, 오류 0)
[1900/3988] 진행 중... (수집 200건, 오류 0)
[2000/3988] 진행 중... (수집 214건, 오류 0)
[2100/3988] 진행 중... (수집 230건, 오류 0)
[2200/3988] 진행 중... (수집 240건, 오류 0)
[2300/3988] 진행 중... (수집 256건, 오류 0)
[2400/3988] 진행 중... (수집 269건, 오류 0)
[2500/3988] 진행 중... (수집 283건, 오류 0)
[2600/3988] 진행 중... (수집 297건, 오류 0)
[2700/3988] 진행 중... (수집 326건, 오류 0)
[2800/3988] 진행 중... (수집 338건, 오류 0)
[2900/3988] 진행 중... (수집 351건, 오류 0)
[3000/3988] 진행 중... (수집 359건, 오류 0)
[3100/3988] 진행 중... (수집 378건, 오류 0)
[3200/3988] 진행 중... (수집 401건, 오류 0)
[3300/3988] 진행 중... (수집 418건, 오류 0)
[3400/3988] 진행 중... (수집 438건, 오류 0)
[3500/3988] 진행 중... (수집 455건, 오류 0)
[3600/3988] 진행 중... (수집 467건, 오류 0)
[3700/3988] 진행 중... (수집 486건, 오류 0)
[3800/3988] 진행 중... (수집 498건, 오류 0)
[3900/3988] 진행 중... (수집 508건, 오류 0)
완료: 총 516건 수집, 오류 0 건. 결과 파일: C:\Users\User\Desktop\클로드코드\1. 미국기업분석\sector-map\scripts\dart-institutions-result.json
